Table 1: Past Events
""
| Date             | Event                                                                                           |
|------------------|-------------------------------------------------------------------------------------------------|
| 11/10/2022       | NIO Inc. reports unaudited third quarter 2022 financial results                                  |
| 11/10/2022       | Quarterly total revenues reached RMB13,002.1 million (US$1,827.8 million)                      |
| 11/10/2022       | Record-high quarterly vehicle deliveries were 31,607 units                                     |
| 11/10/2022       | Vehicle deliveries were 31,607 in the third quarter of 2022, consisting of 22,859 premium smart electric SUVs and 8,748 premium smart electric sedans |
| 11/10/2022       | Vehicle sales were RMB11,932.7 million (US$1,677.5 million) in the third quarter of 2022        |
| 11/10/2022       | Vehicle margin was 16.4% in the third quarter of 2022                                          |
| 11/10/2022       | Total revenues were RMB13,002.1 million (US$1,827.8 million) in the third quarter of 2022      |
| 11/10/2022       | Gross profit was RMB1,735.1 million (US$243.9 million) in the third quarter of 2022            |
| 11/10/2022       | Gross margin was 13.3% in the third quarter of 2022                                            |
| 11/10/2022       | Loss from operations was RMB3,870.3 million (US$544.1 million) in the third quarter of 2022     |
| 11/10/2022       | Net loss was RMB4,110.8 million (US$577.9 million) in the third quarter of 2022                |
| 11/10/2022       | Net loss attributable to NIO’s ordinary shareholders was RMB4,142.3 million (US$582.3 million) in the third quarter of 2022 |
| 11/10/2022       | Basic and diluted net loss per Ordinary Share/American Depositary Share (ADS) were both RMB2.53 (US$0.36) in the third quarter of 2022 |
| 11/10/2022       | Cash and cash equivalents, restricted cash, short-term investment and long-term time deposits were RMB51.4 billion (US$7.2 billion) as of September 30, 2022 |
| 10/31/2022       | Cumulative vehicle deliveries reached 259,563 vehicles as of October 31, 2022                  |
| 09/30/2022       | NIO officially published its first Environmental, Social and Governance (ESG) Report           |
| 10/07/2022       | NIO unveiled its products and services for Germany, the Netherlands, Denmark, and Sweden       |
| Q3 2022          | Vehicle margin decreased to 16.4% due to increased battery cost per unit                         |
| Q3 2022          | Research and development expenses increased by 146.8% from Q3 2021                              |
| Q3 2022          | Selling, general and administrative expenses increased by 48.6% from Q3 2021                   |
| Q3 2022          | Loss from operations increased by 290.2% from Q3 2021                                          |
| Q3 2022          | Net loss increased by 392.1% from Q3 2021                                                      |
| August 23, 2022  | NIO issued 8,805,770 Class A ordinary shares upon conversion of a portion of our convertible senior |
| November 4, 2022 | NIO issued 18,000,000 Class A ordinary shares to Deutsche Bank Trust Company Americas          |
| December 31, 2021 | Consolidated Balance Sheets                                                                     |
| September 30, 2022 | Consolidated Balance Sheets                                                                   |
| September 30, 2022 | Consolidated Statements of Comprehensive Loss                                                  |
""
Table 2: Future Events
""
| Date             | Event                                                                                          |
|------------------|------------------------------------------------------------------------------------------------|
| Q4 2022          | Expect the ET5 delivery will support a substantial acceleration of overall revenue growth in the fourth quarter of 2022 |
| 11/07/2022       | NIO introduced its products and holistic service system to more users in Europe                 |
| Q4 2022          | Deliveries of vehicles expected to be between 43,000 and 48,000 vehicles                         |
| Q4 2022          | Total revenues expected to be between RMB17,368 million (US$2,442 million) and RMB19,225 million |
| November 10, 2022 | Earnings conference call at 7:00 AM U.S. Eastern Time                                            |
| Not specified    | NIO’s ability to develop and manufacture a car of sufficient quality and appeal to customers on schedule and on a large scale |
| Not specified    | NIO’s ability to ensure and expand manufacturing capacities including establishing and maintaining partnerships with third parties |
| Not specified    | NIO’s ability to provide convenient and comprehensive power solutions to its customers           |
| Not specified    | Viability, growth potential and prospects of the newly introduced BaaS and ADaaS               |
| Not specified    | NIO’s ability to improve the technologies or develop alternative technologies in meeting evolving market demand and industry development |
| Not specified    | NIO’s ability to satisfy the mandated safety standards relating to motor vehicles                 |
| Not specified    | NIO’s ability to secure supply of raw materials or other components used in its vehicles         |
| Not specified    | NIO’s ability to secure sufficient reservations and sales of the ES8, ES7 (or the EL7), ES6, EC6, ET7 and ET5 |
| Not specified    | NIO’s ability to control costs associated with its operations                                    |
| Not specified    | NIO’s ability to build the NIO brand                                                             |
| Not specified    | General economic and business conditions globally and in China                                  |
