Table 1: Past Events
""
| Date          | Event                                                                                     |
|---------------|-------------------------------------------------------------------------------------------|
| 03/01/2023 | NIO Inc. reports unaudited Q4 and full year 2022 financial results                           |
| 03/01/2023 | Quarterly total revenues reached RMB16,063.5 million (US$2,329.0 million)                  |
| 03/01/2023 | Record-high quarterly vehicle deliveries were 40,052 units                                 |
| 03/01/2023 | Full year total revenues reached RMB49,268.6 million (US$7,143.3 million)                  |
| 03/01/2023 | Full year vehicle deliveries were 122,486 units                                           |
| 03/01/2023 | NIO delivered 8,506 vehicles in January 2023 and 12,157 vehicles in February 2023          |
| 12/24/2022 | NIO hosted NIO Day 2022 in Hefei, China                                                    |
| 12/24/2022 | NIO launched the EC7, a smart electric flagship coupe SUV, and the All-New ES8             |
| 12/24/2022 | NIO introduced the third-generation Power Swap station and the 500kW ultra-fast Power Charger |
| After publication of Short Seller Report | Independent Committee formed to oversee Internal Review |
| Results of Internal Review | Key allegations of Short Seller Report not substantiated |
| Q4 2022 | NIO delivered 40,052 vehicles, representing a growth of 60% YoY |
| Full year 2022 | NIO delivered 122,486 vehicles, representing a growth of 34% YoY |
| Q4 2022 | NIO established itself as the most competitive premium brand in the smart electric vehicle market in China |
| Q4 2022 | NIO plans to deliver five new products based on NIO Technology Platform 2.0 in 2023 |
| Q4 2022 | NIO plans to deploy 1,000 additional Power Swap stations in 2023 |
| Q4 2022 | NIO's gross margin was 3.9%, compared with 17.2% in Q4 2021 |
| Full year 2022 | NIO's gross margin was 10.4%, compared with 18.9% in 2021 |
| Q4 2022 | NIO's vehicle margin was 6.8%, compared with 20.9% in Q4 2021 |
| Full year 2022 | NIO's vehicle margin was 13.7%, compared with 20.1% in 2021 |
| Q4 2022 | NIO's research and development expenses were RMB3,980.6 million, representing an increase of 117.7% YoY |
| Full year 2022 | NIO's research and development expenses were RMB10,836.3 million, representing an increase of 136.0% YoY |
| December 31, 2021 | Net loss attributable to ordinary shareholders of NIO Inc. was RMB 2,179,222 |
| December 31, 2022 | Net loss attributable to ordinary shareholders of NIO Inc. was RMB 4,142,320 |
| December 31, 2022 | Net loss attributable to ordinary shareholders of NIO Inc. was RMB 5,847,079 |
| December 31, 2022 | Total revenues were RMB 49,268,561 for the year ended December 31, 2022 |
| December 31, 2022 | Gross profit was RMB 5,143,993 for the year ended December 31, 2022 |
| December 31, 2022 | Loss from operations was RMB 15,640,659 for the year ended December 31, 2022 |
| December 31, 2022 | Net loss was RMB 14,437,104 for the year ended December 31, 2022 |
| September 30, 2022 | Net loss attributable to ordinary shareholders of NIO Inc. was RMB 4,142,320 |
| December 31, 2021 | Total revenues were RMB 36,136,423 for the year ended December 31, 2021 |
| December 31, 2021 | Gross profit was RMB 6,821,433 for the year ended December 31, 2021 |
| December 31, 2021 | Loss from operations was RMB 2,445,131 for the year ended December 31, 2021 |
| December 31, 2021 | Net loss was RMB 2,143,429 for the year ended December 31, 2021 |
""
Table 2: Future Actions/Events
""
| Date/Time Range | Future Action/Event |
|-----------------|---------------------|
| 2023 | NIO plans to deliver five new products based on NIO Technology Platform 2.0 |
| 2023 | NIO plans to deploy 1,000 additional Power Swap stations |
| Unknown | NIO plans to continuously strengthen its competitive advantages in key areas of smart electric vehicles |
| Q1 2023 | Deliveries of vehicles expected to be between 31,000 and 33,000 vehicles, an increase of approximately 20.3% to 28.1% YoY. |
| Q1 2023 | Total revenues expected to be between RMB10,926 million (US$1,584 million) and RMB11,543 million (US$1,674 million), an increase of approximately 10.2% to 16.5% YoY. |
| March 1, 2023 | Earnings conference call to be hosted by the Company’s management at 7:00 AM U.S. Eastern Time (8:00 PM Beijing/Hong Kong/Singapore Time). |
