""
""
Table 1: Past Events
""
| Date       | Event                                                                                                                                                                 |
|------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| June 24, 2021 | House lawmakers questioned TikTok CEO Shou Zi Chew about potential Chinese government influence over the platform and promotion of misleading and harmful content. |
""
""
Table 2: Future Actions/Events
""
| Date/Time Range | Action/Event                                                                                                                          |
|-----------------|---------------------------------------------------------------------------------------------------------------------------------------|
| N/A             | Congress remains skeptical if TikTok can operate beyond the reach of the Chinese government considering ByteDance's ownership.           |
| N/A             | Biden administration recently demanded ByteDance to reduce stakes in TikTok or face a probable ban.                                     |
| N/A             | Congress is considering several bills to ban TikTok, including prohibiting US companies from doing business with the platform.           |
| N/A             | TikTok’s parent company shows different content to children in China, which could lead to privacy concerns and further scrutiny.        |
| N/A             | Banning TikTok could hurt Democrats more than Republicans, as TikTok’s audience includes younger people who are more likely to vote Democratic. |
