Table 1: Past Events and Dates
""
| Date | Event |
|------|-------|
| March 27, 2020 | The CARES Act was signed into law |
| April 10, 2020 | Cash App began offering the service to access government money instantly |
| May 7, 2020 | Dorsey described Cash App's soaring user growth during Block's earnings call |
| March 8, 2020 - September 4, 2021 | Confirmed or suspected identity/imposter fraud committed in Washington State |
| Unknown | Ent insurance payments were made across all states |
| Unknown | Other estimates put the fraudulent payments as high as $400 billion |
| Unknown | States filed public records requests to learn about their efforts to identify unemployment payment fraud and recover funds from financial institutions |
| Unknown | Ohio data showed that Cash App’s partner bank Sutton Bank received around $956 million of all the PUA funds distributed in that state |
| Unknown | Sutton Bank received payments for 32,120 claimants that were later determined by the state to be “disallowed” over suspicions of ineligibility including for reasons of fraud |
| Unknown | Massachusetts sought to claw back over 69,000 unemployment payments from Cash App accounts just four months into the pandemic |
| Unknown | Suspect transactions at Cash App’s partner exceeded those at JP Morgan and Wells Fargo, despite those banks having 4x-5x as many deposit accounts, per Massachusetts data |
| Unknown | Sutton Bank accountholders received more than double the suspected fraudulent payments of accountholders at Wells Fargo and JP Morgan Chase combined, a total of $29,442,879, according to the data |
| July 6, 2020 | Secret Service and the U.S. Department of Labor OIG issued a bulletin warning about “an extensive criminal scheme” to use stolen identities to collect unemployment payments and detailing concerns about just the types of transactions that Cash App was routinely overlooking |
| September 11, 2020 | Rapper “Precise” by Money Man describes filling mailboxes in an Atlanta neighborhood with Cash App cards |
| September 23, 2020 | Rapper Nuke Bizzle was arrested on charges of fraud. Upon his arrest, officers found 8 COVID relief debit cards in his possession, 7 of which were in the names of other people |
| October 13, 2020 | The Treasury Department’s Financial Crimes Enforcement Network (FINCEN) was also warning about red flags of unemployment insurance fraud |
| January 2021 | Cash App implemented a software application intended to block government ACH transfers when those transactions appeared suspicious |
| End of 2019 | Block had $1 billion in revenue |
| Late 2021 | Cash App had 40 million monthly active users, up from 24 million at the end of 2019 |
| March 20, 2020 | Block's stock price was $38.09 |
| August 5, 2021 | Block's stock price peaked at $281.81, with a market cap of over $120 billion |
| March 2020 - Dec 31, 2021 | Block insiders sold over $1 billion in stock, with CEO Jack Dorsey selling approximately $574.3 million in stock |
| August 2021 | Block co-founder James McKelvey sold about $468.2 million in stock |
| Today (2022) | Block trades about 74% lower than its highs, with a market cap of $44 billion |
| 5 years ago | TheClearingHouse launched a Real Time Payment (RTP) network, with over 285 banks and credit unions participating. |
| August 2021 | Block announced a $29 billion all-stock acquisition of Afterpay, a Buy Now Pay Later (BNPL) company. |
| January 2022 | Block's acquisition of Afterpay was closed. |
| March 15, 2023 | The Federal Reserve announced it will launch FedNow in July, a modern instant payment solution. |
"| February 2023 | Australian regulators supported ""onerous regulation"" in the BNPL sector. |"
| March 2, 2023 | The CFPB released a study on the usage and demographics around BNPL. |
| November 2022 | The U.S. Department of Treasury released a report recommending the CFPB to review its authorities on BNPL. |
""
Table 2: Future Action/Events and Dates
""
| Date/Time Range | Action/Event |
|-----------------|--------------|
| N/A | Cash App is trying to tie a single identity with multiple accounts to get a more accurate view of how many true users there are |
